City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Guerrero Negro,MX,27.9769,-114.0611,62.78,64,1,17.69,clear sky
223,Sarrebourg,FR,48.7333,7.05,77.61,59,0,7.02,clear sky
224,Joshimath,IN,30.5667,79.5667,65.35,72,98,1.43,overcast clouds
225,Faya,SA,18.3851,42.4509,72.12,58,21,8.08,light rain
226,Kontagora,NG,10.3999,5.4695,100.89,27,52,5.66,broken clouds
227,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,57,48,3.22,scattered clouds
228,Torbay,CA,47.6666,-52.7314,41.58,70,1,5.01,clear sky
229,Nanortalik,GL,60.1432,-45.2371,37.98,85,38,6.15,scattered clouds
230,Svetlyy,RU,54.675,20.1347,51.85,46,43,6.06,scattered clouds
231,Buba,GW,11.5833,-15.0,91.89,46,94,14.0,light rain
232,North Bend,US,43.4065,-124.2243,43.92,93,100,6.91,overcast clouds
233,Santiago De Cao,PE,-7.9589,-79.2392,62.73,94,100,6.91,mist
234,Dingle,PH,10.9995,122.6711,77.97,82,97,7.76,overcast clouds
235,Lodja,CD,-3.4833,23.4333,80.49,69,100,2.04,overcast clouds
236,Marzuq,YE,14.4,46.4667,81.45,51,25,8.77,scattered clouds
237,Najran,SA,17.4924,44.1277,87.24,16,6,11.61,clear sky
238,Sistranda,NO,63.7256,8.834,53.56,70,100,9.4,light rain
239,Benguela,AO,-12.5763,13.4055,81.12,68,0,5.14,clear sky
240,Tuy Hoa,VN,13.0833,109.3,77.34,93,55,2.71,broken clouds
241,Sao Filipe,CV,14.8961,-24.4956,72.66,79,12,4.18,few clouds
242,Hamilton,US,39.1834,-84.5333,72.88,55,0,16.11,clear sky
243,Darab,IR,28.7519,54.5444,77.92,7,0,2.28,clear sky
244,Troitsko-Pechorsk,RU,62.7084,56.1964,52.18,76,93,6.85,light rain
245,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,89.62,25,0,3.91,clear sky
246,Pacific Grove,US,36.6177,-121.9166,55.08,70,2,1.99,clear sky
247,Ahipara,NZ,-35.1667,173.1667,61.27,86,8,9.26,clear sky
248,Kamenka,RU,51.3223,42.7678,44.1,87,92,18.01,overcast clouds
249,Bentiu,SS,9.2333,29.8333,94.26,37,95,7.02,overcast clouds
250,San Ramon,US,37.7799,-121.978,54.81,62,0,16.11,clear sky
251,Tawang,IN,27.5833,91.8667,50.07,94,62,0.38,broken clouds
252,Jalu,LY,29.0331,21.5482,84.88,20,0,12.66,clear sky
253,Saint-Augustin,CA,51.226,-58.6502,48.25,51,5,4.16,clear sky
254,Korla,CN,41.7597,86.1469,77.94,28,0,3.04,clear sky
255,Channel-Port Aux Basques,CA,47.5702,-59.1367,42.64,70,9,10.18,clear sky
256,Kurush,RU,41.2841,47.8345,30.6,94,92,3.27,light snow
257,Barentu,ER,15.1139,37.5928,95.02,11,8,13.04,clear sky
258,Katsuura,JP,35.1333,140.3,55.65,91,100,22.53,light rain
259,Bonavista,CA,48.6499,-53.1147,37.83,69,0,12.39,clear sky
260,Pisco,PE,-13.7,-76.2167,71.02,73,0,9.22,clear sky
261,Takaka,NZ,-40.85,172.8,58.55,87,87,6.62,overcast clouds
262,Carutapera,BR,-1.195,-46.02,75.79,94,100,2.46,overcast clouds
263,Tasiilaq,GL,65.6145,-37.6368,35.76,61,100,1.88,overcast clouds
264,Severomorsk,RU,69.0689,33.4162,46.8,57,14,14.52,few clouds
265,Altay,CN,47.8667,88.1167,48.99,31,5,9.4,clear sky
266,Ronneby,SE,56.21,15.276,54.1,32,0,9.22,clear sky
267,Kailua,US,21.4022,-157.7394,73.38,86,44,1.99,light rain
268,Kosino,RU,58.4127,51.2782,55.02,55,7,3.85,clear sky
269,Deputatskiy,RU,69.3,139.9,15.37,86,99,8.28,overcast clouds
270,San Andres,CO,12.5847,-81.7006,86.02,74,100,10.36,overcast clouds
271,Saint Anthony,US,45.0205,-93.218,68.25,76,100,21.85,overcast clouds
272,Acarau,BR,-2.8856,-40.12,80.62,81,100,7.16,light rain
273,Goderich,CA,43.7501,-81.7165,55.02,62,73,14.34,broken clouds
274,Yinchuan,CN,38.4681,106.2731,66.45,28,1,8.57,clear sky
275,Bathsheba,BB,13.2167,-59.5167,86.61,66,20,16.11,few clouds
276,Kiunga,PG,-6.1219,141.2906,76.05,100,100,0.85,heavy intensity rain
277,Santona,ES,43.4439,-3.4576,79.11,66,20,6.71,few clouds
278,Tautira,PF,-17.7333,-149.15,80.58,74,41,8.93,scattered clouds
279,Hilo,US,19.7297,-155.09,79.29,87,75,5.01,broken clouds
280,Muros,ES,42.7762,-9.0603,81.68,60,76,6.78,broken clouds
281,Nanchong,CN,30.7951,106.0847,69.08,86,68,2.75,broken clouds
282,Waynesboro,US,38.0685,-78.8895,64.15,43,0,9.64,clear sky
283,Mestec Kralove,CZ,50.2072,15.2976,71.82,64,36,7.72,scattered clouds
284,Dunedin,NZ,-45.8742,170.5036,49.8,90,82,5.01,broken clouds
285,Atar,MR,20.5169,-13.0499,108.95,9,22,12.91,few clouds
286,Akyab,MM,20.15,92.9,76.78,92,100,10.47,overcast clouds
287,Pontianak,ID,-0.0333,109.3333,79.99,88,75,2.3,broken clouds
288,Ponta Do Sol,PT,32.6667,-17.1,78.12,35,84,5.32,broken clouds
289,Paamiut,GL,61.994,-49.6678,32.79,83,10,18.37,clear sky
290,Luderitz,NA,-26.6481,15.1594,65.05,53,58,8.84,broken clouds
291,Kilindoni,TZ,-7.9139,39.6668,81.3,75,100,13.27,overcast clouds
292,Maceio,BR,-9.6658,-35.7353,85.44,54,40,9.22,scattered clouds
293,Mandalgovi,MN,45.7625,106.2708,38.48,50,38,19.39,scattered clouds
294,Toora-Khem,RU,52.4675,96.11,29.01,52,85,3.15,overcast clouds
295,Saldanha,ZA,-33.0117,17.9442,57.69,76,67,7.27,broken clouds
296,Avera,US,33.194,-82.5271,63.55,50,1,9.89,clear sky
297,Liciada,PH,14.8981,120.9328,84.11,76,57,2.98,broken clouds
298,Komsomolskiy,UZ,40.4272,71.7189,84.92,24,40,11.5,scattered clouds
299,Tabas,IR,33.5959,56.9244,79.29,13,0,9.33,clear sky
300,Olivehurst,US,39.0955,-121.5522,54.32,61,75,13.8,broken clouds
301,Rio Gallegos,AR,-51.6226,-69.2181,49.01,71,85,21.65,overcast clouds
302,Udachnyy,RU,66.4167,112.4,6.01,95,58,5.3,broken clouds
303,Cockburn Town,TC,21.4612,-71.1419,82.36,69,40,10.36,scattered clouds
304,Plouzane,FR,48.3833,-4.6167,70.12,66,0,11.5,clear sky
305,Belaya Gora,RU,68.5333,146.4167,28.71,98,100,9.37,overcast clouds
306,Gondanglegi,ID,-7.7479,112.0132,77.11,92,100,1.9,moderate rain
307,Roald,NO,62.5833,6.1333,58.12,50,75,8.05,broken clouds
308,Kamaishi,JP,39.2667,141.8833,45.72,73,0,6.78,clear sky
309,Emerald,AU,-23.5333,148.1667,66.34,88,100,9.24,moderate rain
310,Kieta,PG,-6.2167,155.6333,79.5,85,80,2.68,light rain
311,Lompoc,US,34.6391,-120.4579,60.01,51,0,18.99,clear sky
312,Houma,US,29.5958,-90.7195,87.01,72,40,11.5,scattered clouds
313,Vardo,NO,70.3705,31.1107,37.38,70,0,10.36,clear sky
314,Siocon,PH,7.7061,122.1353,79.97,87,95,3.49,overcast clouds
315,Staryy Nadym,RU,65.6118,72.6842,36.77,100,100,10.22,overcast clouds
316,Coffs Harbour,AU,-30.3,153.1333,60.76,82,100,8.05,overcast clouds
317,Yining,CN,29.0361,114.5636,65.1,97,100,3.42,overcast clouds
318,Cidreira,BR,-30.1811,-50.2056,70.23,64,0,10.78,clear sky
319,Artvin,TR,41.1667,41.8333,48.6,84,86,5.01,overcast clouds
320,Mutis,CO,6.2262,-77.4044,83.82,76,79,4.52,light rain
321,Samagaltay,RU,50.6022,95.0047,30.15,41,40,4.32,scattered clouds
322,Matamoros,MX,25.5333,-103.25,89.71,13,0,0.0,clear sky
323,Port Elizabeth,ZA,-33.918,25.5701,66.31,75,0,10.36,clear sky
324,Mangrol,IN,21.1167,70.1167,82.8,80,97,13.58,overcast clouds
325,Waldshut-Tiengen,DE,47.6232,8.2172,73.4,70,40,6.4,scattered clouds
326,Wick,GB,58.4333,-3.0833,50.05,93,75,18.41,broken clouds
327,Tsybli,UA,49.9948,31.5628,55.13,57,15,10.54,few clouds
328,Upington,ZA,-28.4478,21.2561,68.38,28,0,2.3,clear sky
329,Beloha,MG,-25.1667,45.05,71.6,78,30,7.76,light rain
330,Shimoda,JP,34.6667,138.95,53.1,90,100,18.68,light rain
331,Berlevag,NO,70.8578,29.0864,39.0,80,100,11.5,overcast clouds
332,Markivka,UA,49.5229,39.5705,49.32,81,100,14.83,overcast clouds
333,Baykit,RU,61.67,96.37,25.75,94,56,3.24,broken clouds
334,Turangi,NZ,-39.0,175.9333,47.48,96,68,3.31,broken clouds
335,Adrar,MR,20.5022,-10.0711,103.32,6,56,4.76,broken clouds
336,Xuanzhou,CN,30.9525,118.7553,59.5,80,100,10.02,overcast clouds
337,Vallenar,CL,-28.5708,-70.7581,78.4,23,0,4.09,clear sky
338,Dubbo,AU,-32.25,148.6167,53.73,87,41,11.5,scattered clouds
339,Sigulda,LV,57.1519,24.8647,51.76,45,20,8.99,few clouds
340,Cherat,PK,33.8233,71.8915,78.73,22,53,5.55,broken clouds
341,Bowling Green,US,36.9903,-86.4436,72.14,65,75,11.5,broken clouds
342,San Quintin,MX,30.4833,-115.95,61.11,64,0,17.6,clear sky
343,Constitucion,CL,-35.3333,-72.4167,61.88,73,48,5.59,scattered clouds
344,Xiongzhou,CN,25.1167,114.3,71.73,94,97,2.77,overcast clouds
345,Bonthe,SL,7.5264,-12.505,83.12,73,93,10.2,overcast clouds
346,Zhelyabovka,UA,45.3988,34.7578,61.79,56,32,4.0,scattered clouds
347,Micheweni,TZ,-4.9667,39.8333,80.73,79,44,14.25,scattered clouds
348,Lavrentiya,RU,65.5833,-171.0,19.44,90,97,6.26,overcast clouds
349,Harper,LR,4.375,-7.7169,83.48,71,73,5.79,broken clouds
350,Marivan,IR,35.5219,46.176,54.32,56,31,7.11,scattered clouds
351,Palmer,US,42.1584,-72.3287,66.42,21,40,16.11,scattered clouds
352,Mancio Lima,BR,-7.6142,-72.8958,87.87,62,40,5.75,scattered clouds
353,Orlik,RU,52.5178,99.825,25.07,64,99,2.62,overcast clouds
354,Lomza,PL,53.1781,22.0593,54.18,47,40,6.33,scattered clouds
355,Bairiki,KI,1.3292,172.9752,80.6,83,20,9.22,few clouds
356,Isangel,VU,-19.55,169.2667,74.71,74,100,13.69,overcast clouds
357,Labuhan,ID,-6.8844,112.2051,81.25,85,99,7.83,overcast clouds
358,Henties Bay,NA,-22.116,14.2845,64.17,67,1,10.2,clear sky
359,Fort Nelson,CA,58.8053,-122.7002,27.19,93,100,12.97,snow
360,Asau,RO,46.4333,26.4,61.72,85,54,4.83,broken clouds
361,Kaitangata,NZ,-46.2817,169.8464,48.24,86,100,7.72,overcast clouds
362,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,35,0,14.97,clear sky
363,Malanje,AO,-9.5402,16.341,73.67,68,94,3.24,overcast clouds
364,Varhaug,NO,58.6147,5.6457,53.85,71,100,18.07,overcast clouds
365,Ixtapa,MX,20.7,-105.2,78.03,69,0,3.44,clear sky
366,Marawi,PH,7.9986,124.2928,70.48,94,99,0.69,overcast clouds
367,Acapulco,MX,16.8634,-99.8901,84.02,61,0,8.05,clear sky
368,Grants Pass,US,42.439,-123.3284,48.18,79,75,4.61,mist
369,Llanes,ES,43.4198,-4.7549,67.5,67,50,6.73,scattered clouds
370,Banfora,BF,10.6333,-4.7667,98.22,30,36,5.5,light rain
371,Sharkan,RU,57.2989,53.8712,54.52,55,53,6.46,broken clouds
372,Salalah,OM,17.0151,54.0924,84.29,74,20,8.05,few clouds
373,Southbridge,US,42.0751,-72.0334,63.63,31,85,5.01,overcast clouds
374,Kavieng,PG,-2.5744,150.7967,82.51,77,57,14.27,broken clouds
375,Pangai,TO,-19.8,-174.35,77.59,56,29,15.73,scattered clouds
376,Richards Bay,ZA,-28.783,32.0377,65.57,79,0,6.58,clear sky
377,San Francisco,US,37.7749,-122.4194,56.32,66,75,12.66,broken clouds
378,Marrakesh,MA,31.6315,-8.0083,102.27,8,1,8.05,clear sky
379,Jumla,NP,29.2747,82.1838,53.78,90,41,2.08,scattered clouds
380,Huaraz,PE,-9.5333,-77.5333,64.44,55,61,1.34,light rain
381,Aksarka,RU,66.5606,67.7975,36.88,99,100,5.57,overcast clouds
382,Ambunti,PG,-4.2365,142.8448,75.31,99,74,1.99,broken clouds
383,Flinders,AU,-34.5833,150.8552,58.17,93,63,3.0,moderate rain
384,Whitehorse,CA,60.7161,-135.0538,41.77,51,20,11.5,few clouds
385,Manta,EC,-0.95,-80.7333,83.98,74,20,9.22,few clouds
386,Bella Union,UY,-30.2752,-57.6007,70.32,68,48,3.74,scattered clouds
387,Kupang,ID,-10.1667,123.5833,78.87,73,65,9.82,broken clouds
388,Kolondieba,ML,11.0882,-6.8926,101.01,24,64,5.3,broken clouds
389,Gurupa,BR,-1.405,-51.64,75.47,98,100,0.65,overcast clouds
390,Sangar,RU,63.9242,127.4739,21.34,86,6,13.47,clear sky
391,Matara,LK,5.9485,80.5353,81.81,85,100,14.07,overcast clouds
392,Celestun,MX,20.8667,-90.4,89.73,55,27,6.85,scattered clouds
393,Anadyr,RU,64.75,177.4833,28.9,74,0,8.95,clear sky
394,Port Blair,IN,11.6667,92.75,83.26,82,97,16.17,overcast clouds
395,Mushie,CD,-3.0167,16.9,84.69,66,85,3.24,overcast clouds
396,Rovaniemi,FI,66.5,25.7167,45.81,57,0,16.11,clear sky
397,Makakilo City,US,21.3469,-158.0858,71.92,73,20,10.36,few clouds
398,Semnan,IR,35.5729,53.3971,69.64,17,0,2.3,clear sky
399,Ostrovnoy,RU,68.0531,39.5131,34.18,78,12,12.12,few clouds
400,Dakar,SN,14.6937,-17.4441,90.48,73,0,9.22,clear sky
401,Kavaratti,IN,10.5669,72.642,85.57,75,100,18.63,overcast clouds
402,Saint-Pierre,RE,-21.3393,55.4781,73.9,83,0,4.61,clear sky
403,Predivinsk,RU,57.0669,93.4378,29.03,74,72,3.0,broken clouds
404,Gazli,UZ,40.1333,63.45,75.4,38,10,12.75,clear sky
405,Vilhena,BR,-12.7406,-60.1458,84.42,54,75,9.22,broken clouds
406,Antofagasta,CL,-23.65,-70.4,70.21,56,1,7.94,clear sky
407,Wencheng,CN,33.0559,113.7978,50.18,92,100,5.61,overcast clouds
408,Monte Alegre De Sergipe,BR,-10.0272,-37.5622,86.38,45,91,10.8,light rain
409,Pangnirtung,CA,66.1451,-65.7125,32.0,74,75,14.97,broken clouds
410,Bonnyville,CA,54.2668,-110.735,40.8,60,49,11.48,scattered clouds
411,Englewood,US,39.6478,-104.9878,71.33,35,2,16.98,clear sky
412,Mujiayingzi,CN,42.1167,118.7833,48.72,42,80,8.19,broken clouds
413,Lazaro Cardenas,MX,17.9583,-102.2,83.07,54,12,4.0,few clouds
414,Yulara,AU,-25.2406,130.9889,49.84,43,0,8.05,clear sky
415,Codrington,AU,-38.2667,141.9667,46.51,76,51,7.16,broken clouds
416,Suntar,RU,62.1444,117.6319,24.96,94,95,4.25,overcast clouds
417,Igatpuri,IN,19.7,73.55,80.69,61,97,6.13,overcast clouds
418,Turukhansk,RU,65.8167,87.9833,31.35,96,99,12.12,light snow
419,Tromso,NO,69.6496,18.957,39.22,87,75,13.8,light intensity shower rain
420,Kajaani,FI,64.2273,27.7285,50.05,46,20,9.22,few clouds
421,Kardla,EE,58.9978,22.7492,51.78,40,0,9.22,clear sky
422,Keti Bandar,PK,24.1447,67.4497,82.87,79,0,12.86,clear sky
423,Urumqi,CN,43.801,87.6005,65.35,24,0,2.24,clear sky
424,Trincomalee,LK,8.5711,81.2335,83.66,78,100,23.22,overcast clouds
425,Sivas,TR,39.7916,37.0019,45.23,70,75,12.66,broken clouds
426,Never,FR,46.9896,3.159,78.55,54,13,8.37,few clouds
427,Balabac,PH,7.9868,117.0645,83.48,79,100,9.19,overcast clouds
428,Challapata,BO,-18.9,-66.7667,51.73,18,17,14.07,few clouds
429,Taoru,IN,28.2167,76.95,97.88,15,0,7.58,clear sky
430,Oranjestad,AW,12.524,-70.027,87.75,66,20,24.16,few clouds
431,Davila,PH,18.4726,120.5763,82.99,73,54,4.12,broken clouds
432,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.11,68,97,11.81,overcast clouds
433,Panji,ID,-7.7253,114.0995,77.52,89,76,4.32,broken clouds
434,Nizwa,OM,22.9333,57.5333,92.3,16,13,8.59,few clouds
435,Quelimane,MZ,-17.8786,36.8883,76.95,73,0,2.3,clear sky
436,Gwembe,ZM,-16.4975,27.6069,66.96,55,35,3.74,scattered clouds
437,Tuchola,PL,53.5879,17.8591,62.82,41,58,6.26,broken clouds
438,Salatrucel,RO,45.25,24.3833,58.28,84,98,3.38,overcast clouds
439,Madang,PG,-5.2246,145.7966,78.96,88,89,2.84,overcast clouds
440,Namatanai,PG,-3.6667,152.4333,80.28,81,100,10.58,light rain
441,Marion,US,39.7684,-86.1555,73.72,59,20,18.41,few clouds
442,Paranhos,BR,-23.8928,-55.4311,78.33,48,1,4.56,clear sky
443,Mayumba,GA,-3.432,10.6554,80.58,83,59,8.63,broken clouds
444,Pismo Beach,US,35.1428,-120.6413,58.8,45,0,12.66,clear sky
445,Birao,CF,10.2849,22.7882,99.91,13,100,2.95,overcast clouds
446,Carnot,CF,4.9409,15.8665,87.66,43,100,6.71,overcast clouds
